ID_EVENT;ID_STUDENT;EVENT_TYPE;EVENT_DESCRIPTION;EVENT_DATE
1;6;Académico;Modelo de Naciones Unidas;2024-08-15
2;12;Deportivo;Intercolegial de Handball;2024-09-27
3;5;Olimpiada;Olimpiadas de Matemática;2024-10-23
4;13;Deportivo;Intercolegial de Volleyball;2024-09-26
5;3;Olimpiada;Olimpiadas de Física;2024-10-16
6;10;Académico;Modelo de Naciones Unidas;2024-08-15
7;4;Feria;Feria de Ciencias;2024-11-22
8;8;Muestra artística;Muestra de Dibujo y Arte;2024-12-05
9;14;Muestra musical;Muestra de Música y Canto;2024-12-12
10;2;Obra de teatro;Obra Musical y Teatral;2024-11-28
11;9;Olimpiada;Olimpiadas de Química;2024-10-30
12;15;Deportivo;Intercolegial de Handball;2024-09-27
13;1;Deportivo;Muestra de Educación Física y Deportes;2024-11-27
14;7;Olimpiada;Olimpiadas de Matemática;2024-10-23
15;11;Feria;Feria de Ciencias;2024-11-22
